t,phi,theta,psi
30.659,4.39319,3.61241,6.41664
30.729,5.49098,3.16265,2.34575
30.8,4.99851,2.64486,-0.303289
30.87,4.00747,2.4972,-2.08714
30.94,2.82468,2.13193,-3.15889
31.01,1.95159,0.91146,-3.53602
31.08,1.13133,0.670218,-3.66707
31.15,0.29284,0.505708,-3.67726
31.221,-0.529365,0.264991,-3.65688
31.291,-0.597152,0.222112,-3.52009
31.361,-0.725455,0.0348645,-3.41366
31.431,-0.7096,-0.0935815,-3.41606
31.501,-0.705763,-0.137817,-3.41953
31.571,-0.709961,-0.14599,-3.42344
31.642,-0.710149,-0.146065,-3.42344
31.712,-0.7023,-0.182294,-3.42701
31.782,-0.7025,-0.186367,-3.42696
31.852,-0.70269,-0.194477,-3.42686
31.922,-0.702902,-0.194541,-3.42686
31.992,-0.703084,-0.194625,-3.42686
32.063,-0.703268,-0.194691,-3.42686
32.133,-0.703461,-0.194782,-3.42686
32.203,-0.703668,-0.194848,-3.42686
32.273,-0.703811,-0.194964,-3.43087
